Text;Size;;;Size;;
rimane;2;;1078;2;;
sembiante;2;;1079;2;;
vergogna;2;;1080;2;;
cocca;2;;1081;2;;
splende;2;;1082;2;;
pianti;2;;1083;2;;
meglio;2;;1084;2;;
quarto;2;;1085;2;;
chiara;2;;1086;2;;
chiamò;2;;1087;2;;
barba;2;;1088;2;;
nero;2;;1089;2;;
suole;2;;1090;2;;
nere;2;;1091;2;;
suolo;2;;1092;2;;
volge;2;;1093;2;;
suoni;2;;1094;2;;
conoscer;2;;1095;2;;
trapassar;2;;1096;2;;
neve;2;;1097;2;;
solver;2;;1098;2;;
giri;2;;1099;2;;
venuto;2;;1100;2;;
venuti;2;;1101;2;;
